summary_file,blog_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_blog,sentence_length_summary,sentence_length_blog
blog_summary_8.txt,GPT_4o_8.txt,0.86,0.9350649317313555,0.6666666666666666,0.86,0.9686925,16.9,13.8,29.42105263157895,23.62162162162162
blog_summary_80.txt,GPT_4o_80.txt,0.7352941176470589,0.9017798671654269,0.5,0.7352941176470589,0.9852127,16.5,15.7,33.333333333333336,26.586206896551722
blog_summary_81.txt,GPT_4o_81.txt,0.8104838709677419,0.8979706885046541,1.0,0.8104838709677419,0.9875691,16.4,14.9,29.5625,23.666666666666668
blog_summary_82.txt,GPT_4o_82.txt,0.8067632850241546,0.9002604924309658,0.3333333333333333,0.8067632850241546,0.97783464,15.3,14.5,25.647058823529413,22.58974358974359
blog_summary_83.txt,GPT_4o_83.txt,0.8088888888888889,0.9058795214638156,1.0,0.8088888888888889,0.9865186,16.4,15.1,29.466666666666665,24.151515151515152
blog_summary_84.txt,GPT_4o_84.txt,0.7188940092165899,0.8612649469014374,1.0,0.7188940092165899,0.97354984,16.7,15.7,27.0,24.416666666666668
blog_summary_85.txt,GPT_4o_85.txt,0.8518518518518519,0.9405733135150798,1.0,0.8518518518518519,0.9809897,16.6,16.9,30.5,26.3125
blog_summary_86.txt,GPT_4o_86.txt,0.8138528138528138,0.9123511091342777,1.0,0.8138528138528138,0.9827679,16.0,16.2,28.5,27.5625
blog_summary_87.txt,GPT_4o_87.txt,0.8378378378378378,0.9219127394943138,0.3333333333333333,0.8378378378378378,0.98461723,17.3,14.2,31.823529411764707,24.76923076923077
blog_summary_88.txt,GPT_4o_88.txt,0.726530612244898,0.8923527357261136,1.0,0.726530612244898,0.985634,18.1,14.8,31.5625,23.05128205128205
blog_summary_89.txt,GPT_4o_89.txt,0.8327137546468402,0.9431840291719328,0.5,0.8327137546468402,0.9766525,16.1,13.9,33.35294117647059,24.333333333333332
blog_summary_9.txt,GPT_4o_9.txt,0.7802690582959642,0.8591573736311673,0.5,0.7802690582959642,0.9758639,17.4,15.1,28.533333333333335,24.473684210526315
blog_summary_90.txt,GPT_4o_90.txt,0.8502202643171806,0.9357101189440841,0.75,0.8502202643171806,0.9778218,19.4,17.3,27.444444444444443,25.324324324324323
blog_summary_91.txt,GPT_4o_91.txt,0.7626459143968871,0.911156002816335,1.0,0.7626459143968871,0.9792334,17.5,13.2,35.1875,21.4
blog_summary_92.txt,GPT_4o_92.txt,0.8281938325991189,0.9171938057150253,0.3333333333333333,0.8281938325991189,0.9875055,16.2,15.3,28.764705882352942,24.5
blog_summary_93.txt,GPT_4o_93.txt,0.7918552036199095,0.8908415646040446,1.0,0.7918552036199095,0.98332834,18.1,15.4,32.125,24.43243243243243
blog_summary_94.txt,GPT_4o_94.txt,0.7474747474747475,0.8672593913394495,0.0,0.7474747474747475,0.98079133,14.2,13.2,25.555555555555557,22.02777777777778
blog_summary_95.txt,GPT_4o_95.txt,0.7727272727272727,0.9447145735064848,1.0,0.7727272727272727,0.9867959,14.3,13.6,28.944444444444443,22.225806451612904
blog_summary_96.txt,GPT_4o_96.txt,0.728110599078341,0.8739605560660781,0.5,0.728110599078341,0.98699874,16.6,14.2,30.5625,20.441860465116278
blog_summary_97.txt,GPT_4o_97.txt,0.805668016194332,0.9211644045395917,1.0,0.805668016194332,0.98824024,16.2,13.6,31.9375,25.17142857142857
blog_summary_98.txt,GPT_4o_98.txt,0.6694560669456067,0.8743962093106985,1.0,0.6694560669456067,0.97402084,13.9,13.2,26.555555555555557,22.404761904761905
blog_summary_99.txt,GPT_4o_99.txt,0.885593220338983,0.9288682136627824,1.0,0.885593220338983,0.9816657,15.4,15.8,25.0,23.846153846153847
